A&B,Anode,Bnode,recordtime,Traveltime,Numtrips,Link Length,osm_class,Lanes,Speed,vol per lane,Volume
4245633542453575,42456335,42453575,40456.70833,59.2311,66,160.999,secondary,1,5.56,508,508
4250538042505376,42505380,42505376,40456.70833,61.8958,1,109.586,secondary,1,3.62,360,360
4245656842445896,42456568,42445896,40456.70833,140.655,15,155.799,secondary,1,2.27,238,238
596776089596776083,596776089,596776083,40456.70833,10.8486,118,88.051,secondary,1,16.60,752,752
4250617742480066,42506177,42480066,40456.70833,67.4416,2,79.465,residential,1,2.41,252,252
4245655542445879,42456555,42445879,40456.70833,66.8332,100,156.136,unclassified,1,4.78,452,452
4250537642505380,42505376,42505380,40456.70833,15.7093,1,109.586,secondary,1,14.27,785,785
596776083596776089,596776083,596776089,40456.70833,22.4941,127,88.045,secondary,1,8.01,649,649
596776078596776089,596776078,596776089,40456.70833,15.4412,216,87.032,secondary,1,11.53,766,766
4245656842445409,42456568,42445409,40456.70833,9.1014,57,78.579,secondary,1,17.66,722,722
4250618642480071,42506186,42480071,40456.70833,4.9113,3,79.035,residential,1,32.92,1748,1748
4245630342449045,42456303,42449045,40456.70833,19.6131,11,75.136,residential,1,7.84,641,641
4250538942501316,42505389,42501316,40456.70833,14.5498,1,64.1,residential,1,9.01,693,693
424222701369956652,42422270,1369956652,40456.70833,26.6227,1,125.046,motorway,2,9.61,715,1430
4245620542456206,42456205,42456206,40456.70833,40.7381,3,78.712,residential,1,3.95,387,387
597500970277032734,597500970,277032734,40456.70833,88.1592,1,234.535,secondary,1,5.44,500,500
4250539342501316,42505393,42501316,40456.70833,61.0826,15,133.848,residential,1,4.48,429,429
596776032596775963,596776032,596775963,40456.70833,29.2725,431,79.567,secondary,1,5.56,508,508
59568231642429412,595682316,42429412,40456.70833,77.2127,33,163.676,unclassified,1,4.34,418,418
4245670842436604,42456708,42436604,40456.70833,53.4782,23,81.562,secondary,1,3.12,317,317
596775946596775941,596775946,596775941,40456.70833,41.8695,549,79.033,secondary,1,3.86,380,380
596775963596776032,596775963,596776032,40456.70833,20.3299,142,79.574,secondary,1,8.01,649,649
4250537642501307,42505376,42501307,40456.70833,28.093,1,85.948,residential,1,6.26,553,553
596775941596775946,596775941,596775946,40456.70833,20.1981,244,79.058,secondary,1,8.01,649,649
4245671142436637,42456711,42436637,40456.70833,20.4561,12,80.068,secondary,1,8.01,649,649
4290157242801650,42901572,42801650,40456.70833,71.9158,1,337.786,secondary,1,9.61,715,715
4250548442492357,42505484,42492357,40456.70833,24.2243,1,74.112,primary,1,6.26,553,553
4245604142454660,42456041,42454660,40456.70833,166.524,6,216.639,secondary,1,2.66,275,275
4284924042849245,42849240,42849245,40456.70833,14.5704,1,79.267,residential,1,11.13,758,758
2786347931258945357,278634793,1258945357,40456.70833,17.9496,3,86.954,primary,1,9.91,725,725
4289951242864916,42899512,42864916,40456.70833,9.72949,1,85.984,residential,1,18.08,707,707
4250636642469437,42506366,42469437,40456.70833,39.807,4,98.179,residential,1,5.04,472,472
4284924542849722,42849245,42849722,40456.70833,39.988,1,217.546,secondary,1,11.13,758,758
4245668342436510,42456683,42436510,40456.70833,34.9645,41,79.199,secondary,1,4.63,441,441
4245593442459579,42455934,42459579,40456.70833,26.7458,19,129.566,residential,1,9.91,725,725
4245620542449580,42456205,42449580,40456.70833,28.7701,11,75.481,residential,1,5.37,494,494
4250631042469507,42506310,42469507,40456.70833,8.97296,5,140.004,residential,1,31.91,1730,1730
483609415276062171,483609415,276062171,40456.70833,6.15364,178,96.922,unclassified,1,32.22,1736,1736
4275059642761265,42750596,42761265,40456.70833,29.2127,1,159.284,secondary,1,11.15,758,758
4245654342439203,42456543,42439203,40456.70833,22.1745,121,74.598,secondary,1,6.88,590,590
4245620642449817,42456206,42449817,40456.70833,36.4213,13,76.311,residential,1,4.29,414,414
4245621142449589,42456211,42449589,40456.70833,22.5226,311,75.769,secondary,1,6.88,590,590
308679541308679547,308679541,308679547,40456.70833,2.33747,1,70.124,residential,1,61.36,1347,1347
4284967342833268,42849673,42833268,40456.70833,10.0582,1,114.329,residential,1,23.25,408,408
269870258142435714,2698702581,42435714,40456.70833,61.127,31,125.635,primary,1,4.20,408,408
4245629742446622,42456297,42446622,40456.70833,3.46953,16,104.086,secondary,1,61.36,1347,1347
4290147642801650,42901476,42801650,40456.70833,7.27466,10,87.691,secondary,1,24.66,288,288
103172147103265280,103172147,103265280,40456.70833,9.91563,1,55.888,residential,1,11.53,766,766
4275118842741467,42751188,42741467,40456.70833,18.3029,1,49.75,secondary,1,5.56,508,508
62223200242516624,622232002,42516624,40456.70833,13.3338,1,295.445,secondary,1,45.32,1791,1791
4245610142450468,42456101,42450468,40456.70833,10.7418,64,87.184,primary,1,16.60,752,752
